Timestamp,How successful were you in accurately replicating the expected result?,How hard was it to perform the task with your level of success?,How frustrating was it to perform the task?,How mentally demanding was it to perform the task?,How physically demanding was it to perform the task?,How was the temporal demand of the task?
12/12/2016 17:04:23,5,3,1,1,1,3
12/13/2016 10:38:59,8,6,6,3,3,3
11/2/2017 19:02:52,6,5,7,8,5,8
11/3/2017 1:13:03,10,8,3,6,2,5
11/4/2017 0:48:27,9,6,3,5,1,3
11/4/2017 22:50:38,8,8,6,8,4,3
11/5/2017 23:43:46,9,3,4,4,2,6
11/7/2017 19:34:14,6,5,3,4,4,4
11/11/2017 22:03:56,8,5,3,4,3,3
,,,,,,
5/3/2018 16:32:30,4,5,2,2,1,2
,,,,,,
,,,,,,
,,,,,,
,,,,,,
6/1/2018 20:47:33,5,10,9,5,2,7
6/1/2018 20:48:45,5,8,8,5,5,5
6/1/2018 20:59:37,5,6,4,5,3,3
6/1/2018 21:03:10,7,4,2,5,3,6
6/1/2018 21:03:15,8,1,1,4,1,2
6/1/2018 21:03:25,9,6,3,3,1,8
6/1/2018 21:03:27,10,7,4,6,1,3
6/1/2018 21:03:40,7,6,5,2,1,7
6/1/2018 21:03:50,6,7,4,9,5,3
6/1/2018 21:03:50,9,5,3,7,2,5
6/1/2018 21:03:58,9,2,2,4,1,5
6/1/2018 21:04:08,9,10,5,1,1,6
6/1/2018 21:04:14,7,6,6,4,5,7
6/1/2018 21:04:19,9,4,1,4,2,3
6/1/2018 21:04:30,8,5,1,1,1,5
6/1/2018 21:06:01,5,4,3,5,3,5
6/1/2018 21:08:55,5,5,3,4,4,6